file_name,sheet_name,result
M2019-10-30D,Race(1),"['9', '8', '5']"
M2019-10-30D,Race(2),"['4', '9', '3']"
M2019-10-30D,Race(3),"['1', '4', '8']"
M2019-10-30D,Race(4),"['7', '2', '9']"
M2019-10-30D,Race(5),"['5', '3', '2']"
M2019-10-30D,Race(6),"['12', '2', '7']"
M2019-10-30D,Race(7),"['5', '9', '8']"
M2019-10-30D,Race(8),"['11', '1', '10']"
M2019-10-27D,Race(1),"['10', '11', '5']"
M2019-10-27D,Race(2),"['7', '8', '9']"
M2019-10-27D,Race(3),"['10', '14', '1']"
M2019-10-27D,Race(4),"['1', '7', '3']"
M2019-10-27D,Race(5),"['12', '4', '3']"
M2019-10-27D,Race(6),"['8', '11', '1']"
M2019-10-27D,Race(7),"['6', '11', '4']"
M2019-10-27D,Race(8),"['8', '5', '1']"
M2019-10-27D,Race(9),"['2', '8', '1']"
M2019-09-11D,Race(1),"['4', '9', '6']"
M2019-09-11D,Race(2),"['4', '5', '11']"
M2019-09-11D,Race(3),"['10', '2', '5']"
M2019-09-11D,Race(4),"['5', '6', '9']"
M2019-09-11D,Race(5),"['7', '3', '8']"
M2019-09-11D,Race(6),"['11', '4', '10']"
M2019-09-11D,Race(7),"['11', '2', '10']"
M2019-09-11D,Race(8),"['7', '11', '4']"
M2019-10-16D,Race(1),"['5', '11', '3']"
M2019-10-16D,Race(2),"['7', '9', '11']"
M2019-10-16D,Race(3),"['11', '3', '6', '12']"
M2019-10-16D,Race(4),"['5', '8', '9']"
M2019-10-16D,Race(5),"['8', '9', '7']"
M2019-10-16D,Race(6),"['3', '12', '9']"
M2019-10-16D,Race(7),"['12', '1', '8']"
M2019-10-16D,Race(8),"['7', '9', '4']"
M2019-10-20D,Race(1),"['9', '14', '5']"
M2019-10-20D,Race(2),"['1', '3', '9']"
M2019-10-20D,Race(3),"['5', '6', '4']"
M2019-10-20D,Race(4),"['4', '10', '6']"
M2019-10-20D,Race(5),"['3', '6', '10']"
M2019-10-20D,Race(6),"['7', '3', '12']"
M2019-10-20D,Race(7),"['1', '2', '3']"
M2019-10-20D,Race(8),"['2', '8', '1']"
M2019-10-20D,Race(9),"['11', '3', '10']"
M2019-10-20D,Race(10),"['6', '1', '8']"
M2019-09-01D,Race(1),"['3', '4', '7']"
M2019-09-01D,Race(2),"['13', '2', '8']"
M2019-09-01D,Race(3),"['5', '2', '6']"
M2019-09-01D,Race(4),"['3', '10', '2']"
M2019-09-01D,Race(5),"['6', '11', '3']"
M2019-09-01D,Race(6),"['4', '1', '5']"
M2019-09-01D,Race(7),"['3', '6', '7']"
M2019-09-01D,Race(8),"['10', '2', '8']"
M2019-09-01D,Race(9),"['1', '8', '4']"
M2019-09-01D,Race(10),"['5', '7', '1']"
M2019-09-21D,Race(1),"['2', '3', '7']"
M2019-09-21D,Race(2),"['2', '8', '7']"
M2019-09-21D,Race(3),"['13', '7', '14']"
M2019-09-21D,Race(4),"['5', '2', '12']"
M2019-09-21D,Race(5),"['12', '2', '1']"
M2019-09-21D,Race(6),"['12', '7', '6']"
M2019-09-21D,Race(7),"['5', '7', '9']"
M2019-09-21D,Race(8),"['2', '13', '5']"
M2019-09-21D,Race(9),"['4', '9', '8']"
M2019-09-21D,Race(10),"['4', '14', '5']"
M2019-10-01D,Race(1),"['1', '8', '14']"
M2019-10-01D,Race(2),"['9', '8', '10']"
M2019-10-01D,Race(3),"['5', '6', '3']"
M2019-10-01D,Race(4),"['1', '8', '14']"
M2019-10-01D,Race(5),"['5', '8', '2']"
M2019-10-01D,Race(6),"['8', '3', '11']"
M2019-10-01D,Race(7),"['1', '5', '7']"
M2019-10-01D,Race(8),"['2', '12', '6']"
M2019-10-01D,Race(9),"['4', '3', '5']"
M2019-10-01D,Race(10),"['7', '1', '4']"
M2019-09-15D,Race(1),"['3', '4', '6']"
M2019-09-15D,Race(2),"['4', '3', '8']"
M2019-09-15D,Race(3),"['1', '2', '6']"
M2019-09-15D,Race(4),"['3', '8', '1']"
M2019-09-15D,Race(5),"['3', '8', '6']"
M2019-09-15D,Race(6),"['6', '8', '5']"
M2019-09-15D,Race(7),"['5', '11', '14']"
M2019-09-15D,Race(8),"['1', '5', '4']"
M2019-09-15D,Race(9),"['5', '7', '1']"
M2019-09-15D,Race(10),"['3', '2', '9']"
M2019-10-23D,Race(1),"['11', '1', '10']"
M2019-10-23D,Race(2),"['5', '3', '4']"
M2019-10-23D,Race(3),"['3', '8', '10']"
M2019-10-23D,Race(4),"['9', '5', '2']"
M2019-10-23D,Race(5),"['1', '6', '7']"
M2019-10-23D,Race(6),"['3', '5', '6']"
M2019-10-23D,Race(7),"['12', '11', '6']"
M2019-10-23D,Race(8),"['5', '7', '1']"
M2019-10-23D,Race(9),"['5', '12', '1']"
M2019-09-08D,Race(1),"['2', '6', '1']"
M2019-09-08D,Race(2),"['9', '2', '3']"
M2019-09-08D,Race(3),"['4', '13', '1']"
M2019-09-08D,Race(4),"['3', '6', '10']"
M2019-09-08D,Race(5),"['8', '5', '1']"
M2019-09-08D,Race(6),"['9', '5', '1']"
M2019-09-08D,Race(7),"['8', '10', '2']"
M2019-09-08D,Race(8),"['7', '3', '11']"
M2019-09-08D,Race(9),"['8', '9', '4']"
M2019-09-08D,Race(10),"['8', '1', '14']"
M2019-09-25D,Race(1),"['4', '6', '2']"
M2019-09-25D,Race(2),"['1', '5', '4']"
M2019-09-25D,Race(3),"['9', '1', '3']"
M2019-09-25D,Race(4),"['8', '6', '5']"
M2019-09-25D,Race(5),"['9', '2', '3']"
M2019-09-25D,Race(6),"['12', '6', '8']"
M2019-09-25D,Race(7),"['2', '3', '4']"
M2019-09-25D,Race(8),"['10', '9', '11']"
M2019-09-25D,Race(9),"['12', '4', '11']"
